Indicador,Valor
Ventas totales,"$105,595,522.55"
Producto más vendido,Beef Stew Meat
Cantidad producto más vendido,15654
Promedio por transacción,"$527,977.61"
Ventas 2025-01,"$10,153,845.34"
Ventas 2025-02,"$7,325,304.89"
Ventas 2025-03,"$4,852,620.18"
Ventas 2025-04,"$9,990,756.19"
Ventas 2025-05,"$2,191,556.18"
Ventas 2025-06,"$8,021,848.34"
Ventas 2025-07,"$9,715,166.96"
Ventas 2025-08,"$8,858,754.25"
Ventas 2025-09,"$11,029,807.84"
Ventas 2025-10,"$12,528,885.36"
Ventas 2025-11,"$9,724,789.31"
Ventas 2025-12,"$11,202,187.71"
